1.0	it	2015-10-16 11:40:32Z
ebauche1-A.SpindleDirection		Progetto1-A.SpindleDirection
Edge Detect		Rilevamento bordi
Edit		Modifica
Edit gcode		Modifica GCode
Edit Text		Modifica testo
Edit Text Style		Modifica stile del testo
Edit_Pointlist	Edit pointlist	Modifica Elenco di punti
EDIT_POINTLIST_1	Drag point list points, press enter or middle mouse to end, ESC to cancel	Trascinare punto di un Elenco di punti, premere INVIO o centrale del mouse per finire, ESC per annullare
EDIT_POLY_1	Drag polyline points, press enter or middle mouse to end, ESC to cancel	Trascinate i punti di polilinea, premere INVIO o centrale del mouse per finire, ESC per annullare
Edit_Polyline	Edit polyline	Modifica polilinea
EDIT_RECT_1	Drag rectangle points, press enter or middle mouse to end, ESC to cancel	
Edit_Rectangle		
Ellipse		Ellisse
ELLIPSE_DRAW1	Enter first bounding rectangle point or esc	Inserire il primo punto del rettangolo o <ESC> per annullare
ELLIPSE_DRAW2	Enter second bounding rectangle point or esc	Inserire il secondo punto del rettangolo o <ESC> per annullare
Enable / Disable MOP		Attiva / Disattiva MOP
Enable / disable part		Abilitare / disabilitare Parte
Enabled		Abilitato
Enabled.info	If Enabled is True, then display the toolpaths associated with this part and include them in g-code output.	Se Abilitato è Vero, visualizza i PU associati a questa Parte e li include nel GCode generato.
Enabled.info:MachineAxisDefinition		Abilitato.info: Definizione Asse Macchina
Enabled.info:MOP3DSurface	If Enabled is True, then display the toolpaths associated with this machine op and include them in g-code output.	Se Abilitato è Vero, visualizza i PU associati a questa MOP e li include nel GCode generato.
Enabled.info:MOPDrill	If Enabled is True, then display the toolpaths associated with this machine op and include them in g-code output.	Se Abilitato è Vero, visualizza i PU associati a questa MOP e li include nel GCode generato.
Enabled.info:MOPEngrave	If Enabled is True, then display the toolpaths associated with this machine op and include them in g-code output.	Se Abilitato è Vero, visualizza i PU associati a questa MOP e li include nel GCode generato.
Enabled.info:MOPLathe	If Enabled is True, then display the toolpaths associated with this machine op and include them in g-code output.	Se Abilitato è Vero, visualizza i PU associati a questa MOP e li include nel GCode generato.
Enabled.info:MOPNCFile	If Enabled is True, then display the toolpaths associated with this machine op and include them in g-code output.	Se Abilitato è Vero, visualizza i PU associati a questa MOP e li include nel GCode generato.
Enabled.info:MOPPocket	If Enabled is True, then display the toolpaths associated with this machine op and include them in g-code output.	Se Abilitato è Vero, visualizza i PU associati a questa MOP e li include nel GCode generato.
Enabled.info:MOPProfile	If Enabled is True, then display the toolpaths associated with this machine op and include them in g-code output.	Se Abilitato è Vero, visualizza i PU associati a questa MOP e li include nel GCode generato.
End Comment		Fine Commento
End Comment.info	Rule for a closing comment character.\nUsed by {$endcomment} macro.	Regola per il carattere di chiusura commento. Utilizzato dalla macro {$endcomment}.
End Cut		Fine Taglio
End Cut.info	Macro to use when finished a feed cut.\nMay be used for plasma or laser to power off the cutting tool.	Macro da utilizzare una volta terminato il taglio.\nPuò essere utilizzato per spegnere l'utensile da taglio al plasma o laser.
End Mill		Utensile (Fine Fresatura)
End Of Line		Fine della riga
End Of Line.info	Character sequence to denote a new line.	Sequenza di caratteri per indicare una nuova riga
End Rewind		Riavvolgere al Termine
End Rewind.info	Code used for end rewind.	Codice utilizzato per tornare all'inizio dopo la fine del programma
Engrave		Incisione 
Enter a point on the circle		Inserire un punto sul cerchio
Enter a point on the mirror line		
Enter any two parameters below and click on "Calculate" to generate the third.		Inserisci due parametri e clicca su "Calcola" per generare il terzo.
Enter arc center, hold SHIFT to invert the arc		Inserisci il centro dell'arco, tieni premuto SHIFT per invertire l'arco
Enter circle center point or esc		Inserisci il centro del cerchio o ESC
Enter first arc point or esc		Inserisci il primo punto dell'arco  o ESC
Enter first bounding rectangle point or esc		
Enter first rectangle point or esc		Inserisci il primo punto del rettangolo o ESC
Enter second arc point		Inserisci il secondo punto dell'arco
Enter second bounding rectangle point or esc		
Enter second rectangle point or esc		Inserisci il secondo punto del rettangolo o ESC
Enter the first tangent point		
Enter the second tangent point		
ENTITY_MOVE_1	Select a reference point	Selezionare un punto di riferimento
ENTITY_MOVE_2	Enter destination point	Inserisci il punto di destinazione
Entity_Reorder	Entity reorder	Entità di riordino
ENTITY_ROTATE_1	Select rotation center point	Selezionare il punto centrale di rotazione
ENTITY_ROTATE_2	Select reference angle	Seleziona angolo di riferimento
ENTITY_ROTATE_3	Drag mouse around center point to rotate - Rotation Axis = {0}, Angle = {1}°\nPress X,Y or Z to change axis	Trascinare il mouse intorno al punto centrale per ruotare - Asse di rotazione = {0}, Angolo = {1} ° Premere X, Y o Z per cambiare l'asse
ENTITY_SELECT	Select objects, (use ctrl+click to deselect), then press enter or esc.	Selezionare gli oggetti, (usare CTRL + clic per deselezionare), quindi premere INVIO o ESC.
ERR_CANT_CONVERT_TO_REGION_POLY	Warning! Can not convert {0} to region or polyline.	Attenzione! Impossibile convertire {0} in regione o polilinea.
ERR_CANT_EXPLODE	Cannot explode {0}	Non è possibile esplodere {0}
ERR_CANT_SLICE	Can not slice {0} object	Non è possibile tagliare {0} oggetto
ERR_DEGENERATE_RAYTEST	Degenerate raytest at surface({0}), face({1})	Raggio di prova degenerato sulla superficie ({0}), faccia ({1})
ERR_DEPENDENCY_LOOP	Depdency loop detected!	Ciclo di dipendenza rilevato!
ERR_DUPLICATE_INDEX_IN_TREE	Duplicate {0} index in tree	Duplicare indice {0} nella struttura ad albero!
ERR_ERROR_HANDLING_EXCEPTION	Error '{0}' when handling exception	Errore di '{0}' eccezione durante la manipolazione!
ERR_EXECUTING_SCRIPT	Error executing script!	Errore di esecuzione dello script!
ERR_FILE_TOO_BIG	File is too big!	Il file è troppo grande!
ERR_GENERATE_GCODE_FIRST	You must first generate the gcode file	È necessario prima generare il file GCode!
ERR_INSUFFICIENT_POINTS	Insufficient points entered	Punti inseriti insufficenti!
ERR_INVALID_ARC	Invalid arc detected	Rilevato arco non valido!
ERR_INVALID_OPACITY	Invalid Opacity - use 0 to 100	Opacità non valido - utilizzare 0-100
ERR_INVALID_POINT_LIST	ERROR! Invalid PointList ID	ERRORE! ID Elenco di punti non valido! 
ERR_INVALID_START_POINT	Invalid Start Point expression	Punto di avvio dell'espressione non valido!
ERR_JOIN_CLOSED_POLY	Can't join closed Polyline	Non è possibile unire polilinee chiuse!
ERR_LIB_PATH_NOT_FOUND	Library path not found: {0}	Percorso della libreria non trovato: {0}
ERR_LOADING_PLUGIN	Error loading plugin {0}	Errore nel caricamento dei plug-in {0}
ERR_MEASURE_INSUFFICIENT_POINTS	Insufficient measure points	Punti di misura insufficienti
ERR_NESTED_XML_NOT_SUPPORTED	Nested XML values not supported {0}	Valori XML nidificati non sono supportati {0}
ERR_NO_DRILL_POINTS	ERROR! {0} : No drill points detected	ERRORE! {0}: Punti di foratura non rilevati
ERR_NO_DUPE_POINTS	No duplicate points detected!	Nessun punto duplicato rilevato!
ERR_NO_MOP_OBJECTS	ERROR! {0} : No drawing objects detected	ERRORE! {0}: Nessun oggetto di disegno rilevato
ERR_NO_OBJECTS	No objects selected!	Nessun oggetto selezionato!
ERR_NO_POLYS	No polylines detected!	Nessuna polilinea rilevata!
ERR_NO_POLYS_TO_JOIN	No Polylines found to join	Nessuna polilinea trovata da unirsi
ERR_NO_SUBTRACTING_OBJECTS	No subtracting objects selected	Nessun oggetto selezionato da sottrarre
ERR_NO_SURFACES_FOR_3D	No surfaces found for 3D surface	Nessuna superficie trovata per superficie 3D
ERR_NO_TRIMMING_OBJECTS	No trimming objects selected	Nessun oggetto selezionato per il taglio
ERR_NON_POLYS_IGNORED	Non-polylines ignored.  Convert them to polylines first.	Ignorate le non polilinee. Convertirle prima in polilinee.
ERR_NOT_FOUND	{0} - "{1}" not found!	{0} - "{1}" non trovato!
ERR_OBJECT_NOT_FOUND	Object ID={0} not found	Object ID = {0} non trovato
ERR_OBJECT_NOT_FOUND_IN	Object ID={0} not found in {1}	Object ID = {0} non trovato in {1}
ERR_ONE_FILE_ONLY	You can only specify one file!	Si può specificare un solo file!
ERR_PARSING_INT_LIST	Error parsing integer list	Errore di analisi lista interi
ERR_PRIM_IN_INDEX	Primtitive {0} already in index	Primtitive {0} già nell'indice
ERR_READING_PROMPTS	Error reading prompt history : {0}	Errore durante la lettura cronologia prompt: {0}
ERR_READING_TRANSLATIONS	Error reading translations ({0}) at line {1}	Errore leggendo la traduzione ({0}) alla riga {1}
ERR_REVERSE_POLY_IN_JOIN	Reversing Polyline in join	Errore inversione polilinea in Unisci
ERR_SCRIPT_LINE	Line={0} - {1}	Linea = {0} - {1}
ERR_SCRIPT_UNKNOWN_OBJECT	{1} Error : Unknown object {0}	{1} Errore: oggetto sconosciuto {0}
ERR_SELECT_POLYS_TO_SPLIT	You must first select some polylines to split.	È necessario innanzitutto selezionare alcune polilinee da dividere.
ERR_SELECT_SPLIT_POINTS	You must first select the split points.	È necessario innanzitutto selezionare i punti da dividere.
ERR_SETTING_POINT_VALUE	Error setting point value	Errore di impostazione del valore punto
ERR_SETTING_POLY_START	Error setting new poly start	Errore di impostazione nuovo inizio poli
ERR_SETTING_VALUE	Error setting value!	Errore di impostazione del valore!
ERR_SPIRAL_HOLE_TOO_SMALL	ERROR! {0} : Hole diameter must be > tool diameter for spiral drill	ERRORE! {0}: Il Diametro foro deve essere > Diametro Utensile  per fori a spirale
ERR_STEPOVER	StepOver must be positive and non-zero	StepOver deve essere positivo e diverso da zero
ERR_STYLE_RECURSION	CAM style recursion detected in style '{0}'	Ricorsione stile CAM rilevato in stile '{0}'
ERR_TARGET_DEPTH_ABOVE_STOCKSURFACE	ERROR! {0} : Target depth must be less than stock surface	ERRORE! {0}: [Altezza Obiettivo] deve essere inferiore alla superficie Grezzo
ERR_TO_POLY_NOT_SUPPORTED	{0}->Polyline not supported	{0} -> Polilinea non supportata
ERR_TOOL_LIB_DUPLICATE_INDEX	Duplicate tool index {0} in library '{1}'	Duplicare indice strumento {0} nella libreria '{1}'
ERR_TOOLPATH_GEN_IN_PROGRESS	Toolpath generating already in progress for '{0}'	Generazione di PU già in corso per '{0}'
ERR_UNKNOWN_FILL	Unknown fill style	Stile di riempimento sconosciuto
ERR_UNKNOWN_MACRO	Unknown macro : {0}	Macro sconosciuta: {0}
ERR_UNKNOWN_NODE_TYPE	Unknown node type : {0}	Nodo di tipo sconosciuto: {0}
ERR_UNKNOWN_PROPERTY	Unknown property {0}	Proprietà sconosciuta {0}
ERR_UNRECOGNIZED_XML_ELEM	Unrecognized Xml element : '{0}'	Non riconosciuto elemento Xml: '{0}'
ERR_WRITING_PROMPTS	Error writing prompt history : {0}	Errore durante la scrittura cronologia promt: {0}
ERR_ZERO_CUTTER_DIAMETER	Cutter diameter cannot be 0	Il Diametro Utensile non può essere 0
ERR_ZERO_FLUTES	Num flutes cannot be 0	Numero taglienti non può essere 0
ERR_ZERO_RPM	RPM cannot be 0	RPM non può essere 0
ERR_ZERO_TOOTH_LOAD	Tooth loading cannot be 0	Carico dei denti non può essere 0
EVALUATION_COUNT	Evaluation Copy : {0} evaluations remaining	Copia di valutazione: {0} valutazioni rimanenti
EVALUATION_EXPIRED	Evaluation period expired.  Please register CamBam to continue	Periodo di valutazione è scaduto. Si prega di registrarsi CamBam per continuare
EVALUATION_EXPIRED2	Your evaluation has expired.\nPlease help support the future development of CamBam\nPurchase at www.cambam.co.uk/shop\nSome functionality will be disabled.	Il tuo periodo di prova è scaduto. Si prega di contribuire a sostenere lo sviluppo futuro acquistando CamBam a www.cambam.co.uk/shop Alcune funzionalità verranno disabilitate.
Exact Stop		Arresto preciso
Excellon		
ExcellonIO Config		Impostazioni ExcellonIO
Exclude Reference Geometry		Escludi Geometria di riferimento
Exit		Esci
Experimental		Sperimentale
Explode		Esplodi
Export		Esporta
Extents		Estensioni
EXTERNAL_COMMAND	External command: {0} {1}	Comando esterno: {0} {1}
Extrude		Estrusione
Extrusion Height		Altezza di estrusione
Extrusion Steps		Passi di estrusione
False		Falso
Fast Plunge Height		Altezza Avv. Veloce
Fast Plunge Height.info	Rapid to this height above stock surface then use plunge feedrate.	Utilizza i rapidi per avvicinarsi ad  [Altezza Avv. Veloce] poi usa [Avanzamento Verticale].
Fast Plunge Height.info:MachiningOptions	Rapid to this height above stock surface then use plunge feedrate.\nA negative value will use one minor grid unit.	Utilizza i rapidi fino a questa altezza poi usa [Avanzamento Verticale] \nUn valore negativo userà l'unità di griglia minore
Feed Move		Movimento Lineare
Feed Move.info	Rule for a straight feed move.	Regola per un movimento di avanzamento in linea retta.
Feedrate		Velocità Avanzamento
Feedrate / (RPM x Flutes)		Velocità Avanzamento / (RPM x Taglienti)
Feedrate / (Tooth Load x Flutes)		Velocità Avanzamento / (Carico Dente x Taglienti)
Feedrates		Avanzamenti
Field Of View		Angolo di visione
File		File
File Backups		File di backup
File Backups.info	Specify the number of backups copies to retain for CamBam (.cb), library and post processor files.	Specificare il numero di copie di backup da conservare per: File CamBam (. cb), Libreria e File di post processor.
FILE_DELETE_CONFIRM	File {0} will be permanantly deleted!	File {0} sarà cancellato definitivamente!
Fill Geometry		Riempi geometria
Fill Margin		Riempi Margine
Fill Region		Riempi Regione
Fill Stepover		Riempi StepOver
Fillet		Raccorda
Fillet Radius		Raggio del raccordo
Final Depth Increment		Incremento di profondità finale
Final Depth Increment.info	The depth increment of the final machining pass.	L'incremento di profondità della passata finale di lavorazione.
Find		Trova
Find / Replace (ctrl+F)		Trova / Sostituisci (CTRL + F)
Find what:		Trova:
Find_Next	Find Next	Trova successivo
FIND_REACHED_END	Reached end of document, starting from beginning.	Raggiunto la fine del documento,  partire dall'inizio.
FindDialog		Trova. finestra di dialogo
Finish Stepover		Passata di finitura
Finish Stepover At Target Depth		Passata di finitura a [Altezza Obiettivo]
Finish Stepover At Target Depth.info	If true, then finish stepover stock will be removed at the target depth pass.  If false then finish stepover removed at each depth pass.	Se Vero, il materiale lasciato per [Passata di finitura] viene asportato in un solo passaggio a [Altezza Obiettivo].\n\nSe Falso, il materiale viene asportato in più passaggi usando l'incremento della profondità di taglio.
Finish Stepover At TargetDepth		Passata di finitura a [Altezza Obiettivo]
Finish Stepover At TargetDepth.info	If true, then finish stepover stock will be removed at the target depth pass.  If false then finish stepover removed at each depth pass.	Se Vero, il materiale lasciato da  [Passata di finitura] viene asportato in un solo passaggio a [Altezza Obiettivo].\n\nSe Falso, il materiale viene asportato in più passaggi usando l'incremento [Passata di finitura].
Finish Stepover.info	This is the thickness of stock to leave for the final cut.	Lo spessore del materiale, intorno ai perimetri delle forme, che verrà asportato con l'ultima passata del PU.
Finishing		Finitura
First select a path for the spiral to follow.		Selezionare prima un percorso da seguire per la spirale.
Fit Points		Adatta punti
Fit Points.info		Adatta punti.info
Fit Tolerance		Adatta - tolleranza
Fit Tolerance.info		Adatta Tolleranza.info
FIT_CURVE_RESULT	Fit Curves results {0} segments	Adatta Curve risulta {0} segmenti
FIT_CURVE_START	Fit Curves start {0} segments	Adatta Curve inizia {0} segmenti
Flat Bar		Barra piatta
Flat Spiral		Spirale piatta
Flat Spiral Draw		Disegno a spirale piatta
Flip Axis		Asse di Rotazione
Flip Axis.info	The axis around which you would flip the stock to machine the back face.	L'asse attorno al quale va ruotato il Grezzo per lavorare la faccia posteriore.
Flute Length		Lunghezza Tagliente
Flute Length.info	Length of the cutting flutes.	Lunghezza dei Taglienti dell'Utensile.
Flutes		Taglienti
Flutes.info	Number of cutting edges or flutes.	Quantità di Taglienti.
Font		Carattere
Font Color		Colore Carattere
Font Color.info		Il colore selezionato per il Carattere
Font.info	The name of the font used to display the text.	Il nome del font utilizzato per visualizzare il testo.
Footer		Piè di pagina
Footer.info	Rules for the {$footer} macro.\nUsually inserted at the end of the gcode output.	Regole per la macro {$footer}.\nSolitamente inserita alla fine del GCode generato.
For a pressure angle of 14.5 deg the minimum number of teeth is 16.		Per un angolo di pressione di 14,5 gradi il numero minimo di denti è 16.
Framework Version		Versione Framework 
From Bitmap		Da Bitmap
From Mesh File		Da file Mesh
From Text File		Da file di testo
G Codes		GCode
G0		G0
G0.info	Defines how the commonly used gcode operators are output.	Rapidi
G1		G1
G1.info	Defines how the commonly used gcode operators are output.	Interpolazione lineare
G2		G2
G2.info	Defines how the commonly used gcode operators are output.	Interpolazione circolare/elica (orario)
G3		G3
G3.info	Defines how the commonly used gcode operators are output.	Interpolazione circolare/elica (antiorario)
G81		G81
G81.info	Defines how the commonly used gcode operators are output.	Ciclo foratura
G82		G82
G82.info	Defines how the commonly used gcode operators are output.	Ciclo foratura con pausa
G83		G83
G83.info	Defines how the commonly used gcode operators are output.	Ciclo foratura profonda con rottura truciolo
GCode		GCode
GCode Editor		Editor GCode
GCode Editor.info	An external command used to edit gcode files.\r\nIf no command is specified, the internal editor is used.	Un programma esterno utilizzato per modificare i file GCode. Se nessun programma è specificato, viene utilizzato l'editor interno.
GCode Generation		Generazione GCode
G-Code Options		Opzioni GCode 
GCode Order		Ordine GCode 
GCode Order.info	Auto - post all consecutive MOPs with the same toolnumber for each nest copy\r\nNestEachMOP - each MOP is output at each nest location before moving to the next MOP.\r\nAllMOPsPerCopy - All the MOPs in the part are posted before moving to the next nest location.	Auto - Inserisce tutte le MOP consecutive con stesso  numero di utensile per ogni copia Nidificazione\nOgni MOP per Nidificazione - Ogni MOP è inserita in ogni posizione Nidificazione prima di passare alla successiva MOP.\nTutte le MOP per Copia - Tutte le MOP della parte sono inserite prima di passare alla successiva posizione Nidificazione.
GcodeFiles	Gcode	Gcode
Gear information. Select and right click to copy to clipboard.		Informazioni Ingranaggio. Selezionare e fare clic destro per copiare negli appunti.
Gear Information:		Informazioni Ingranaggio:
Generate Biomorph		Genera biomorfa
Generate Gear		Genera Ingranaggio
Generate toolpath '{0}' duration : {1}		Genera PU '{0}' durata: {1}
Generate toolpaths		Genera PU
GenerateWaterlines duration : {0}		Genera Waterline durata: {0}
Gerber - Flatten		Gerber - Unisci
Gerber - Flatten.info	If True, flatten all layers to a single (unioned) layer.	Se Vero, unifica tutti i Livelli in un unico Livello.
Gerber - Subtract Layers		Gerber - Sottrai Livelli
Gerber - Subtract Layers.info	If True, 'Clear' layers will be subtracted from previous layers.	Se Vero, strati chiari saranno sottratti dai livelli precedenti.
Gerber - Union Layers		Gerber - Unifica Livelli
Gerber - Union Layers.info	If True, all shapes on each layer will be unioned together.	Se Vero, tutte le forme su ogni Livello saranno unificate.
Gerber - Union Traces		Gerber - Unifica Tracce
Gerber - Union Traces.info	If True, each trace will be unioned together.  If False the traces will be left as line and arc sections.	Se Vero, ogni traccia viene unificata.\n\n Se Falso le tracce saranno lasciate come linee o sezioni di arco.
Gerber Import		Gerber - Importa
GERBER_APERTURE_DEFINED	Aperture {0} already defined	Diaframma {0} già definito
GERBER_APERTURE_NOT_DEFINED	Aperture {0} not defined	Diaframma {0} non definito
GERBER_MOVEPOINT_NOT_DEFINED	Move point not fully defined	Muovi punto non completamente definito
GERBER_PARAMETER_TOO_BIG	Gerber parameter > 4096 characters : line {0}	Gerber - Parametri > 4096 caratteri: Linea {0}
GERBER_UNEXPECTED_MOVE	Unexpected move format {0}	Movimento non previsto {0}
GERBER_UNHANDLED_APERTURE	Unhandled aperture type {0}	Tipo di apertura non gestita {0}
GERBER_UNHANDLED_APERTURE_MACRO_TYPE	Unhandled aperture macro type : {0}	Tipo di apertura macro non gestita: {0}
GERBER_UNHANDLED_COMMAND	Unhandled gerber command {0} {1}	Comando gerber non gestito {0} {1}
GERBER_UNHANDLED_DIRECTIVE	Unhandled gerber directive {0} {1}	Direttiva gerber non gestita {0} {1}
GERBER_UNHANDLED_GCODE	Unhandled code G{0}	Codice G non gestito {0}
GERBER_UNHANDLED_LAYER_PARAMETER	Unhandled layer parameter {0} {1}	Parametro Livello non gestito {0} {1}
Get object extremas		Prendi estremi oggetto
Get Selected		Prendi selezionato
Get Selected as PolyLine		Selezionato come Polilinea
G-Force		G-Force
G-Force.info		G-Force.info
GLSL Shader Version		
Grid		Griglia
Grid Alternate		Griglia Alternata
Grid Alternate.info	If True then alternate row or column directions will alternate.	Se Vero, le direzioni di riga o di colonna si alterneranno.
Grid Color		Colore griglia
Grid Color.info	The color of the drawing grid.	Il colore con cui è disegnata la griglia.
Grid Info (Inches)		Informazioni Griglia (pollici)
Grid Info (Inches).info	Information that defines the drawing grid, when Inches drawing units are used.	Informazioni che definiscono il disegno della griglia, quando vengono utilizzate le unità di misura in pollici.
Grid Info (Metric)		Informazioni Griglia (metrico)
Grid Info (Metric).info	Information that defines the drawing grid, when Metric drawing units are used.	Informazioni che definiscono il disegno della griglia, quando vengono utilizzate le unità di misura metriche.
Grid Order		Ordine di Griglia 
Grid Order.info	The direction that grid copies are ordered.	La direzione in cui le copie sulla griglia sono ordinate.
Grid Stepover		Griglia StepOver
Hardness		Durezza
Hardness.info	Informational.	Informativo.
Header		Intestazione
Header.info	Rules for the {$header} macro.\nUsually inserted at the start of the gcode output.	Regole per la macro {$header} . Di solito inserita all'inizio del gcode.
Height		Dim. - Altezza 
Height.info	The height of the rectangle.	L'altezza del rettangolo.
Height.info:CBValue`1	The height of the holding tab measured from the stock base or target depth.	L'altezza dei Fermi misurata dal fondo del Grezzo o da [Altezza Obiettivo].
Height.info:MText	The height of the 'em' square defined for the font.\r\nThe em square will enclose the largest character in the font.	L'altezza del quadrato  (em) definito per il tipo di carattere.\nIl quadrato sarà tale da racchiudere il carattere più grande del font di solito la 'm'.
HeightMap Generator		Generatore Heightmap
Heightmap Size		Dimensione Heightmap 
Helix Angle		Angolo Spirale
Helix Angle.info	Angle of the spiral profile in degrees.	Angolo del profilo  spirale in gradi.
Helix Convert To Lines		Spirale Converti in Linee
Help		Aiuto
Hide		Nascondi
Hide all but this		Nascondi tutti tranne questo
Hide_All_But_This_Layer	Hide all but this layer	Nascondi tutti tranne questo Livello
Hide_Layer	Hide layer	Nascondi Livello
Hint		Suggerimento
Holding Tab Drag Toolpath Refresh		Aggiorna il PU trascinando i fermi
Holding Tab Drag Toolpath Refresh.info	If True, holding tabs are automatically applied to toolpaths when tabs are moved.\r\nIf False tabs will be applied when the toolpaths are regenerated.	Se Vero, Il PU sarà aggiornato automaticamente quando si spostano i Fermi.\r\nSe Falso,Il PU sarà aggiornato quando i PU verranno rigenerati.
Holding Tabs		Fermi
Holding Tabs.info	Defines holding tabs (bridges) to prevent cut parts moving while cutting.	Definisce i Fermi (ponti) per evitare che parti tagliate si spostano durante il taglio.
HOLDING_TAB_DRAG	Drag the holding tab...	Trascinare Fermi...
Holding_Tab_Move	Holding tab move	Muovi Fermi
Hole Diameter		Diametro foro
Hole Diameter.info	The diameter of the hole required.  If 0, then uses tooldiameter.	Il diametro del foro richiesto. Se è 0, viene utilizzato il diametro dll'utensile.
Horizontal		Orizzontale
Horizontal Hatch		Tratteggio orizzontale
Hypocycloid generator		Generatore di Ipocicloidi
ID		ID
ID.info	Each drawing object has a unique ID which used to refer to and locate the object.	Ogni oggetto di disegno ha un ID univoco che viene usato per indicare e individuare l'oggetto.
Identity		Identità
If Needed		Se Necessario
Ignore		Ignorare
Image to Heightmap		Immagine > heightmap
ImageFiles	Image Files	File immagine
Import gcode		Importa GCode
Import Surface Mesh		Importazione di superficie Mesh
Import_gcode	Import gcode	Importa GCode
Import_Surface_Mesh	Import Surface Mesh	Importazione di superficie Mesh
Inches		Pollici
inches to mm		pollici a mm
Incremental		Incrementale
Incremental (C-P1)		
INCREMENTAL_DISTANCEMODE	Incremental DistanceMode currently not supported.	Modo Distanza Incrementale  non è attualmente supportato.
Index		Indice
Index.info	Index is used to identify the current tool, control tool changes and lookup properties from the tool library.	L'Indice viene utilizzato per identificare: l'utensile attuale, il controllo del cambio utensile e recupero delle proprietà dalla libreria utensili.
Inherited style		Stile ereditato
Inherited_from	Inherited from...	Ereditato da ...
Inner Tab Scale		Scala interno Fermi
Inner Tab Scale.info		Scala l'interno Fermi.info
Inner Tab Scale.info:MachiningOptions	Scale the inner side of holding tab rectangle by this amount.	Scala il lato interno dei rettangoli dei Fermi di questo valore.
Insert an arc		Inserire un arco
Insert_an_arc	Insert an arc	Inserire un arco
Insert_Entity	Insert entity	Inserisci entità
Insert_MOP	Insert MOP	Inserisci MOP
Inside		Interno
Inside / Outside		Interno / Esterno
Inside / Outside.info	Whether to cut Inside or Outside the selected shapes.\r\nFor open shapes the point order determines which side of the line to cut.	Sia per tagliare all'interno che all'esterno delle forme selezionate.\nPer le forme aperte  determina il lato della linea di taglio.
Inside + Outside Offsets		Interno + Esterno
Inside Offsets		Interno
Install {0} License		
Install CamBam License		Installare Licenza CamBam 
Intersection		Intersezione
Intersection Points		Punti di intersezione
Intersection Tolerance		Intersezione - tolleranza
Intersection_Points	Intersection points	Punti di intersezione
Invalid valid for tooth size. Please enter a value and try again.		Valore non valido per dimensione dei denti. Si prega di inserire un nuovo valore e riprovare.
Invert		Invertire
Invert Arcs		Inverti Archi
Invert Arcs.info	If set True, CW arcs will be output as CCW and vice versa.\nThis may be useful for front face lathe operations.	Se è impostato su Vero archi CW vengono commutati come CCW e viceversa.\nCiò può essere utile per operazioni di tornitura delle facce anteriori.
Invert Faces		Inverti Facce
Invert_Faces	Invert faces	Inverti facce
Involute		Evolvente
Involute Gear		Ingranaggi Evolvente 
Involute Gear Generator		Generatore ingranaggi Evolvente 
Iso Grid		Griglia Iso 
Italic		Corsivo
Italic.info	Italic font style.	Stile del carattere corsivo.
Javascript		Javascript
Join		Unisci
Join Tolerance		Unisci - tolleranza
JScript		JScript
Knot Tolerance		Nodo - tolleranza
Knot Tolerance.info		Nodo Tolerance.info
Kontur.TargetDepth		Kontur.Profondità Finale
Language		Lingua
Language Translations		Traduzioni Lingua 
Language.info		La lingua usata da CamBam
Larger = higher load capacity. Smaller = higher contact ratio, smoother, quieter operation. A larger value also allows less teeth without undercutting occurring.		Più grande = maggiore capacità di carico. Più piccolo = rapporto di contatto più alto, funzionamento  più fluido, più silenzioso. Un valore maggiore permette anche meno denti senza che si verifichino errori di taglio per difetto.
Lathe		Tornitura
Lathe Cut Direction		Tornitura - direzione di taglio
Lathe Cut Direction.info		Tornitura - direzione di taglio.info
Lathe Tool Radius Offset		Tornitura - Offset raggio utensile
Lathe Tool Radius Offset.info	If True then the toolpath coordinates will be offset by the tool radius.	Se Vero, le coordinate del PU saranno compensate con raggio utensile.
Lathe X Mode		Tornitura - modalità  X
Lathe X Mode.info	For lathe operations, specifies whether X values are radius or diameter mode.	Per le operazioni di tornitura, specifica se il valore di  X è riferito al raggio o al  diametro.
Layer		Livello
Layer.info	The layer that contains this drawing object.	Livello che contiene questo oggetto di disegno.
Layer_Reorder	Layer reorder	Riordina Livello
Layers		Livelli
Lead In Move		Movimento Lead In
Lead In Move.info	Defines the lead in move as the tool enters the stock.	Definisce il movimento Lead In dell'Utensile quando si avvicina al Grezzo
Lead In/Out		Lead In/Out
Lead Move Feedrate		 Velocità di avanzamento
Lead Move Feedrate.info	The feed rate to use for the lead in.  If 0 use cutting feedrate.	La velocità di avanzamento da utilizzare. Se 0 viene utilizzata la velocità di taglio.
Lead Move Type		Tipo di movimento
Lead Move Type.info	None | Spiral | Tangent	Nessuno | Spirale | Tangente
Lead Out Length		Lunghezza Lead Out
Lead Out Length.info	For spiral drilling only.  The distance to move in the lead out direction.\r\nIf length is positive, move toward the center.\r\nIf length is negative, move away from the center.	Solo per la foratura a spirale.\nSpecifica quanto muoversi con un "movimento Lead Out".\r\nSe la lunghezza è positiva, si muove verso il centro.\r\nSe la lunghezza è negativa, si allontana dal centro.
Lead Out Length.info:CAMStyle	For spiral drilling only.  The distance to move in the lead out direction as specified in LeadoutMove.	Solo per la foratura a spirale.\r\n Specifica quanto muoversi con un "Movimento Lead Out".
Lead Out Move		Movimento Lead Out
